xtile,ytile,infra
92045,58436,False
92046,58436,False
92047,58436,False
92048,58436,False
92049,58436,False
92050,58436,False
92051,58436,False
92052,58436,False
92053,58436,False
92054,58436,False
92055,58436,False
92056,58436,False
92057,58436,False
92058,58436,False
92059,58436,False
92059,58436,False
92060,58436,False
92061,58436,False
92062,58436,False
92063,58436,False
92064,58436,False
92065,58436,False
92066,58436,False
92067,58436,False
92068,58436,False
92069,58436,False
92069,58436,False
92070,58436,False
92071,58436,False
92072,58436,False
92073,58436,False
92074,58436,False
92075,58436,False
92076,58436,False
92077,58436,False
92078,58436,False
92079,58436,False
92079,58436,False
92080,58436,False
92081,58436,False
92082,58436,False
92083,58436,False
92084,58436,False
92085,58436,False
92086,58436,False
92087,58436,False
92088,58436,False
92089,58436,False
92089,58436,False
92090,58436,False
92091,58436,False
92092,58436,False
92093,58436,False
92094,58436,False
92095,58436,False
92096,58436,False
92097,58436,False
92098,58436,False
92098,58436,False
92099,58436,False
92100,58436,False
92101,58436,False
92102,58436,False
92103,58436,False
92104,58436,False
92105,58436,False
92106,58436,False
92107,58436,False
92108,58436,False
92108,58436,False
92109,58436,False
92110,58436,False
92111,58436,False
92112,58436,False
92113,58436,False
92114,58436,False
92115,58436,False
92116,58436,False
92117,58436,False
92118,58436,False
92118,58436,False
92119,58436,False
92120,58436,False
92121,58436,False
92122,58436,False
92123,58436,False
92124,58436,False
92125,58436,False
92126,58436,False
92127,58436,False
92128,58436,False
92128,58436,False
92129,58436,False
92130,58436,False
92131,58436,False
92132,58436,False
92133,58436,False
92134,58436,False
92135,58436,False
92136,58436,False
92137,58436,False
92138,58436,False
92138,58436,False
92139,58436,False
92140,58436,False
92141,58436,False
92142,58436,False
92143,58436,False
92144,58436,False
92145,58436,False
92146,58436,False
92147,58436,False
92148,58436,False
92148,58436,False
92149,58436,False
92150,58436,False
92151,58436,False
92152,58436,False
92153,58436,False
92154,58436,False
92155,58436,False
92156,58436,False
92157,58436,False
92158,58436,False
92158,58436,False
92159,58436,False
92160,58436,False
92161,58436,False
92162,58436,False
92163,58436,False
92164,58436,False
92165,58436,False
92166,58436,False
92167,58436,False
92168,58436,False
92168,58436,False
92169,58436,False
92170,58436,False
92171,58436,False
92172,58436,False
92173,58436,False
92174,58436,False
92175,58436,False
92176,58436,False
92177,58436,False
92178,58436,False
92178,58436,False
92179,58436,False
92180,58436,False
92181,58436,False
92182,58436,False
92183,58436,False
92184,58436,False
92185,58436,False
92186,58436,False
92187,58436,False
92188,58436,False
92188,58436,False
92189,58436,False
92190,58436,False
92191,58436,False
92192,58436,False
92193,58436,False
92194,58436,False
92195,58436,False
92196,58436,False
92197,58436,False
92198,58436,False
92198,58436,False
92199,58436,False
92200,58436,False
92201,58436,False
92202,58436,False
92203,58436,False
92204,58436,False
92205,58436,False
92206,58436,False
92207,58436,False
92208,58436,False
92208,58436,False
92209,58436,False
92210,58436,False
92211,58436,False
92212,58436,False
92213,58436,False
92214,58436,False
92215,58436,False
92216,58436,False
92217,58436,False
92218,58436,False
92218,58436,False
92219,58436,False
92220,58436,False
92221,58436,False
92222,58436,False
92223,58436,False
92224,58436,False
92225,58436,False
92226,58436,False
92227,58436,False
92228,58436,False
92228,58436,False
92229,58436,False
92230,58436,False
92231,58436,False
92232,58436,False
92233,58436,False
92234,58436,False
92235,58436,False
92236,58436,False
92237,58436,False
92238,58436,False
92238,58436,False
92239,58436,False
92240,58436,False
92241,58436,False
92242,58436,False
92243,58436,False
92244,58436,False
92245,58436,False
92246,58436,False
92247,58436,False
92248,58436,False
92248,58436,False
92249,58436,False
92250,58436,False
92251,58436,False
92252,58436,False
92253,58436,False
92254,58436,False
92255,58436,False
92256,58436,False
92257,58436,False
92258,58436,False
92258,58436,False
92259,58436,False
92260,58436,False
92261,58436,False
92262,58436,False
92263,58436,False
92264,58436,False
92265,58436,False
92266,58436,False
92267,58436,False
92268,58436,False
92268,58436,False
92269,58436,False
92270,58436,False
92271,58436,False
92272,58436,False
92273,58436,False
92274,58436,False
92275,58436,False
92276,58436,False
92277,58436,False
92278,58436,False
92278,58436,False
92279,58436,False
92280,58436,False
92281,58436,False
92282,58436,False
92283,58436,False
92284,58436,False
92285,58436,False
92286,58436,False
92287,58436,False
92288,58436,False
92288,58436,False
92289,58436,False
92290,58436,False
92291,58436,False
92292,58436,False
92293,58436,False
92294,58436,False
92295,58436,False
92296,58436,False
92297,58436,False
92298,58436,False
92298,58436,False
92299,58436,False
92300,58436,False
92301,58436,False
92302,58436,False
92303,58436,False
92304,58436,False
92305,58436,False
92306,58436,False
92307,58436,False
92308,58436,False
92308,58436,False
92309,58436,False
92310,58436,False
92311,58436,False
92312,58436,False
92313,58436,False
92314,58436,False
92315,58436,False
92316,58436,False
92317,58436,False
92318,58436,False
92318,58436,False
92319,58436,False
92320,58436,False
92321,58436,False
92322,58436,False
92323,58436,False
92324,58436,False
92325,58436,False
92326,58436,False
92327,58436,False
92327,58436,False
92328,58436,False
92329,58436,False
92330,58436,False
92331,58436,False
92332,58436,False
92333,58436,False
92334,58436,False
92335,58436,False
92336,58436,False
92337,58436,False
92337,58436,False
92338,58436,False
92339,58436,False
92340,58436,False
92341,58436,False
92342,58436,False
92343,58436,False
92344,58436,False
92345,58436,False
92346,58436,False
92347,58436,False
92347,58436,False
92348,58436,False
92349,58436,False
92350,58436,False
92351,58436,False
92352,58436,False
92353,58436,False
92354,58436,False
92355,58436,False
92356,58436,False
92357,58436,False
92357,58436,False
92358,58436,False
92359,58436,False
92045,58437,False
92046,58437,False
92047,58437,False
92048,58437,False
92049,58437,False
92050,58437,False
92051,58437,False
92052,58437,False
92053,58437,False
92054,58437,False
92055,58437,False
92056,58437,False
92057,58437,False
92058,58437,False
92059,58437,False
92059,58437,False
92060,58437,False
92061,58437,False
92062,58437,False
92063,58437,False
92064,58437,False
92065,58437,False
92066,58437,False
92067,58437,False
92068,58437,False
92069,58437,False
92069,58437,False
92070,58437,False
92071,58437,False
92072,58437,False
92073,58437,False
92074,58437,False
92075,58437,False
92076,58437,False
92077,58437,False
92078,58437,False
92079,58437,False
92079,58437,False
92080,58437,False
92081,58437,False
92082,58437,False
92083,58437,False
92084,58437,False
92085,58437,False
92086,58437,False
92087,58437,False
92088,58437,False
92089,58437,False
92089,58437,False
92090,58437,False
92091,58437,False
92092,58437,False
92093,58437,False
92094,58437,False
92095,58437,False
92096,58437,False
92097,58437,False
92098,58437,False
92098,58437,False
92099,58437,False
92100,58437,False
92101,58437,False
92102,58437,False
92103,58437,False
92104,58437,False
92105,58437,False
92106,58437,False
92107,58437,False
92108,58437,False
92108,58437,False
92109,58437,False
92110,58437,False
92111,58437,False
92112,58437,False
92113,58437,False
92114,58437,False
92115,58437,False
92116,58437,False
92117,58437,False
92118,58437,False
92118,58437,False
92119,58437,False
92120,58437,False
92121,58437,False
92122,58437,False
92123,58437,False
92124,58437,False
92125,58437,False
92126,58437,False
92127,58437,False
92128,58437,False
92128,58437,False
92129,58437,False
92130,58437,False
92131,58437,False
92132,58437,False
92133,58437,False
92134,58437,False
92135,58437,False
92136,58437,False
92137,58437,False
92138,58437,False
92138,58437,False
92139,58437,False
92140,58437,False
92141,58437,False
92142,58437,False
92143,58437,False
92144,58437,False
92145,58437,False
92146,58437,False
92147,58437,False
92148,58437,False
92148,58437,False
92149,58437,False
92150,58437,False
92151,58437,False
92152,58437,False
92153,58437,False
92154,58437,False
92155,58437,False
92156,58437,False
92157,58437,False
92158,58437,False
92158,58437,False
92159,58437,False
92160,58437,False
